"filename", "language", "PHP", "JavaScript", "Markdown", "PostCSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\molecula_calorica\show.blade.php", "PHP", 358, 0, 0, 0, 0, 0, 0, 13, 371
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\pacientes\create.blade.php", "PHP", 221, 0, 0, 0, 0, 0, 0, 22, 243
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\pacientes\edit.blade.php", "PHP", 222, 0, 0, 0, 0, 0, 0, 22, 244
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\pacientes\index.blade.php", "PHP", 227, 0, 0, 0, 0, 0, 0, 11, 238
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\pacientes\show.blade.php", "PHP", 189, 0, 0, 0, 0, 0, 0, 23, 212
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\requerimiento_nutricional\create.blade.php", "PHP", 216, 0, 0, 0, 0, 0, 7, 17, 240
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\requerimiento_nutricional\historial.blade.php", "PHP", 88, 0, 0, 0, 0, 0, 0, 3, 91
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\requerimiento_nutricional\index.blade.php", "PHP", 127, 0, 0, 0, 0, 0, 0, 5, 132
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\seguimientos\create.blade.php", "PHP", 87, 0, 0, 0, 0, 0, 0, 12, 99
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\seguimientos\edit.blade.php", "PHP", 72, 0, 0, 0, 0, 0, 0, 10, 82
"c:\Users\COMPU\Desktop\Integrador Materrno Infantil\Sistema\materno_infantil\resources\views\seguimientos\index.blade.php", "PHP", 246, 0, 0, 0, 0, 0, 0, 11, 257
